ACCESSION	IRIS_ID	SUBPOPULATION	COUNTRY
IET1444	CX267	indx	
GRITNA::GERVEX 71-C1	IRIS_313-8029	japx	
O. SATIVA::IRGC 5779-1	IRIS_313-10516	indx	United States of America
CHAOYANGYIHAO B	B249	ind1A	
DA DAO TOU::IRGC 59499-1	IRIS_313-9725	temp	China
CHAM TON::IRGC 90600-1	IRIS_313-12210	indx	Viet Nam
BAOXUAN 21 A	B105	indx	
IR 75870-5-8-5-B-1::IRGC 117297-1	IRIS_313-10385	ind1B	Philippines
POTOQOIN::IRGC 78677-1	IRIS_313-11988	indx	Sierra Leone
NIAW DAM::IRGC 48387-2	IRIS_313-11391	ind3	Thailand
GOKULGANJA::IRGC 45701-1	IRIS_313-9433	ind2	India
NIAW NARAI::IRGC 71353-1	IRIS_313-11841	ind3	Thailand
ARC 12411::IRGC 41047-2	IRIS_313-11256	indx	India
IR 2003-P7-7-4-2::IRGC 32671-1	IRIS_313-8392	ind1B	Philippines
SA GAE::IRGC 64613-1	IRIS_313-11687	ind3	Thailand
GBRA::IRGC 32474-2	IRIS_313-11121	trop	Liberia
COLOMBIA 1::IRGC 116970-1	IRIS_313-10272	japx	Colombia
BOROJYOT::IRGC 26578-2	IRIS_313-10983	indx	Bangladesh
JAO KHAO::IRGC 57046-1	IRIS_313-11530	ind3	Thailand
MILAGROSA, ZAWA BANDAY	CX59	aro	
ARC 7336::IRGC 20606-1	IRIS_313-10852	aus	India
IR 47686-09-01-B-1::C1	IRIS_313-8003	trop	
ARROZVERMELHO	CX268	indx	
PERIYA VELLAI::IRGC 15475-1	IRIS_313-10717	ind2	Sri Lanka
ESCARLATE::GERVEX 887-C1	IRIS_313-8113	temp	
ANNONGWANGENG B	B250	temp	
SIPOT::IRGC 5825-1	IRIS_313-10517	ind3	Philippines
MURASAHITSUTSURI::IRGC 2493-1	IRIS_313-9769	temp	Japan
WENXIANGNUO	B106	indx	
WEONJU 8::IRGC 90845-1	IRIS_313-12217	temp	Korea, Republic of
IR 80310-12-B-1-3-B::IRGC 117307-1	IRIS_313-10394	indx	Philippines
SA MER::IRGC 48454-2	IRIS_313-11392	ind3	Thailand
TAMBAS JANGKOK::IRGC 78724-1	IRIS_313-11989	ind3	Brunei Darussalam
PAMAH S 18::IRGC 61322-1	IRIS_313-9451	indx	Thailand
ARC 12757::IRGC 41095-2	IRIS_313-11257	indx	India
NIAW YUANG KHANUN::IRGC 71362-1	IRIS_313-11842	ind3	Thailand
FEI GAI 122::IRGC 63599-1	IRIS_313-8412	indx	China
IR 1813-694-2::IRGC 32656-2	IRIS_313-11122	ind1B	Philippines
SIA MOO::IRGC 64629-1	IRIS_313-11688	ind3	Thailand
KOSAGI::IRGC 57692-1	IRIS_313-8769	trop	Guinea
DUDHSAR::IRGC 26609-2	IRIS_313-10984	ind2	Bangladesh
MARIA GAKIT::IRGC 57070-1	IRIS_313-11532	trop	Philippines
ARC 10028::IRGC 20656-2	IRIS_313-10853	japx	India
C418	CX6	admix	
62667::C1	IRIS_313-7838	trop	
KARUTHA SEENATI::IRGC 15515-2	IRIS_313-10718	aus	Sri Lanka
IAC165	CX269	trop	
MEDUSA::GERVEX 323-C1	IRIS_313-8067	ind1B	
KHAYANGYA D 34-181::IRGC 5861-2	IRIS_313-10518	indx	Myanmar
XIANGAI B	B252	indx	
EGYPTIAN::IRGC 3217-1	IRIS_313-9774	japx	Turkey
CHAO KHIE KHOUAY::IRGC 90968-1	IRIS_313-12220	indx	Lao People's Democratic Republic
DAWANNUO	B107	indx	
IR 80340-23-B-12-6-B::IRGC 117309-1	IRIS_313-10396	indx	Philippines
TAISEN GLUTINOUS YU 1157::IRGC 78750-1	IRIS_313-11990	ind1B	Taiwan
SAWNG RUANG::IRGC 48458-2	IRIS_313-11393	ind3	Thailand
KARANTABA 1::IRGC 15924-1	IRIS_313-9461	ind3	Senegal
PAN DAWK MAHK::IRGC 71380-1	IRIS_313-11843	ind3	Thailand
ARC 13502::IRGC 41126-2	IRIS_313-11258	aro	India
CHANG LE SAN SHU ZAO::IRGC 63561-1	IRIS_313-8433	ind1A	China
DECHANGBYEO::IRGC 64858-1	IRIS_313-11689	temp	Korea, Republic of
BAZAIL 975::IRGC 32816-2	IRIS_313-11123	aus	Bangladesh
ARC 11430 B::IRGC 14567-1	IRIS_313-8999	subtrop	India
GOBOL SAIL (BALAM)::IRGC 26624-2	IRIS_313-10985	ind2	Bangladesh
NAHNG KHAO BOW::IRGC 57377-1	IRIS_313-11534	ind3	Thailand
BASMATI	CX60	ind1B	
ARC 10145::IRGC 20744-1	IRIS_313-10854	aus	India
IR 68704-145-1-1-B::C1	IRIS_313-7907	trop	
KHAZAR	CX27	indx	
VELLAI KOLOMBAN::IRGC 15517-1	IRIS_313-10719	ind2	Sri Lanka
LUXOR::GERVEX 1662-C1	IRIS_313-8195	japx	
JIANGNONGZAO 1 B	B253	indx	
ADT 22::IRGC 5901-1	IRIS_313-10519	ind2	India
BENLLOK::IRGC 3404-1	IRIS_313-9782	temp	Peru
XIANGGU	B108	indx	
EA LOUY::IRGC 91220-1	IRIS_313-12221	ind3	Lao People's Democratic Republic
IRGA 370-42-1-1F-C-1::IRGC 117343-1	IRIS_313-10401	ind1B	Colombia
INDO NO 13030::IRGC 48630-2	IRIS_313-11394	indx	Indonesia
CHON::IRGC 78776-1	IRIS_313-11991	ind3	Lao People's Democratic Republic
TSAO SHENG LI 1::IRGC 1309-1	IRIS_313-9469	ind1A	China
ARC 13515::IRGC 41134-2	IRIS_313-11259	aro	India
PUEY TAW::IRGC 71405-1	IRIS_313-11844	ind3	Thailand
UPRH 233::IRGC 61667-1	IRIS_313-8435	ind1A	India
BAZAIL 980::IRGC 32817-2	IRIS_313-11124	admix	Bangladesh
KOCHUM::IRGC 64906-1	IRIS_313-11690	admix	Bhutan
DARAWAL::IRGC 71514-1	IRIS_313-9101	admix	Malaysia
HALDI JAON::IRGC 26638-2	IRIS_313-10986	ind2	Bangladesh
PAH DI MI RAHK::IRGC 57398-1	IRIS_313-11535	ind3	Thailand
ARC 10159::IRGC 20754-2	IRIS_313-10855	ind2	India
BHAVANI	CX61	ind1A	
VIETNAM 1::C1	IRIS_313-8011	subtrop	
HEENDIKWEE::IRGC 15587-2	IRIS_313-10720	indx	Sri Lanka
TAICHUNGNATIVE1	CX270	ind1A	
MELAS::GERVEX 1684-C1	IRIS_313-8214	japx	
NATURAL HYBRID C 33-8::IRGC 5929-1	IRIS_313-10520	indx	Myanmar
JINGHU3 B	B254	indx	
JAPONES BALILLA::IRGC 5785-1	IRIS_313-9790	temp	Uruguay
LAM BOUN::IRGC 91525-1	IRIS_313-12222	ind3	Lao People's Democratic Republic
LENGSHUIGU 2	B109	japx	
IRGA 411-1-6-1F-A::IRGC 117344-1	IRIS_313-10402	ind1B	Colombia
CHAO LAO SOUNG::IRGC 78799-1	IRIS_313-11992	ind3	Lao People's Democratic Republic
INDO NO 13075::IRGC 48665-1	IRIS_313-11395	ind3	Indonesia
H 6::IRGC 157-1	IRIS_313-9472	indx	Sri Lanka
SING SAI::IRGC 71442-2	IRIS_313-11845	subtrop	Thailand
ARC 13591::IRGC 41177-2	IRIS_313-11260	indx	India
IRRIBINI::IRGC 49094-1	IRIS_313-8437	indx	Bangladesh
SHANGYIPA::IRGC 64928-1	IRIS_313-11691	subtrop	Bhutan
DHALA AMAN 973::IRGC 32861-1	IRIS_313-11125	admix	Bangladesh
81 A 32::IRGC 60162-1	IRIS_313-9140	temp	China
SUNGA WALA::IRGC 26802-1	IRIS_313-10987	aus	Bangladesh
WIR 2091::IRGC 57536-1	IRIS_313-11536	temp	Georgia
JHONA 349	CX63	aus	
ARC 10537::IRGC 20981-1	IRIS_313-10856	admix	India
GANIGI::IRGC 48698-C1	IRIS_313-7883	trop	Indonesia
NONA BOKRA	CX273	indx	
HALSUDU HEENATI::IRGC 15599-1	IRIS_313-10721	ind2	Sri Lanka
JACINTO::GERVEX 1653-C1	IRIS_313-8186	trop	
DIANRUI 409B	B255	indx	
HR 22::IRGC 6394-1	IRIS_313-10531	admix	India
SZANISZLO 2::IRGC 9353-1	IRIS_313-9813	temp	Hungary
HUANGPINUO	B110	temp	
NOON SOUNG::IRGC 91956-1	IRIS_313-12224	ind3	Lao People's Democratic Republic
PULUTHI KARAN (MIXED)::IRGC 77530-1	IRIS_313-8306	indx	India
MAS::IRGC 48758-1	IRIS_313-11396	trop	Indonesia
LIM MA NO MA KHIN NYUNT::IRGC 78917-1	IRIS_313-11993	indx	Myanmar
E 2024::IRGC 67958-1	IRIS_313-9482	ind1B	China
ARC 13785::IRGC 41218-2	IRIS_313-11261	indx	India
TON TIA GUAY NU::IRGC 71467-1	IRIS_313-11846	subtrop	Thailand
498-2A BR 8::IRGC 5891-1	IRIS_313-8450	ind2	India
ANBAW::IRGC 32932-2	IRIS_313-11126	indx	Myanmar
CHIAYI WU-K'O::IRGC 64974-1	IRIS_313-11692	ind1A	Taiwan
YANGKUM (RED)	IRIS_313-9404	admix	Bhutan
BAKASI::IRGC 27074-1	IRIS_313-10996	indx	Indonesia
J 6 IR 438 (WC 694)::IRGC 57599-1	IRIS_313-11537	trop	Philippines
ARC 10825::IRGC 21082-1	IRIS_313-10857	admix	India
IRAT 352	CX64	ind3	
CIRAD 403::GERVEX 9039-C1	IRIS_313-7863	trop	
GODAWEL::IRGC 15750-1	IRIS_313-10722	trop	Sri Lanka
IR26	CX274	indx	
CAMPINO::GERVEX 824-C1	IRIS_313-8109	temp	
D 204-1::IRGC 6445-1	IRIS_313-10534	aus	India
XINGGUO	B258	temp	
TEPUKE::IRGC 12872-1	IRIS_313-9838	temp	New Zealand
PA LAT NGAN::IRGC 91983-1	IRIS_313-12225	ind3	Lao People's Democratic Republic
ZIMANGFEIE	B111	temp	
ARC 11867::IRGC 40978-1	IRIS_313-8315	indx	India
KALINDIG::IRGC 78968-1	IRIS_313-11994	trop	Philippines
TAMBU::IRGC 48932-1	IRIS_313-11397	trop	Indonesia
CHNNOR::IRGC 67485-1	IRIS_313-9484	indx	India
PULUT BURUNG::IRGC 71655-1	IRIS_313-11848	ind3	Malaysia
TAMBA PERAK::IRGC 35534-2	IRIS_313-11181	ind3	Indonesia
ARC 18597::IRGC 43299-1	IRIS_313-8453	indx	India
CHING CH'UNG::IRGC 65002-1	IRIS_313-11693	indx	Taiwan
BUBAW::IRGC 32989-2	IRIS_313-11127	subtrop	Myanmar
NEWREX::IRGC 64657-1	IRIS_313-9648	admix	United States of America
CEMPO MANGGAR::IRGC 27107-1	IRIS_313-10997	ind3	Indonesia
J 6 IR 520 (WC 693)::IRGC 57600-1	IRIS_313-11538	ind1B	Philippines
DOMSIAH	CX65	aro	
ARC 10894::IRGC 21122-1	IRIS_313-10858	indx	India
CUIABANA::IRTP 17401-C1	IRIS_313-7870	japx	
IR34	CX275	indx	
MOND BA::IRGC 15813-2	IRIS_313-10723	ind2	Senegal
ITALPATNA 48::GERVEX 60-C1	IRIS_313-8025	temp	
LEIHUOZHAN	B259	ind1A	
GAMTI 1-34::IRGC 6479-2	IRIS_313-10536	ind2	Tanzania
O. SATIVA::IRGC 12876-1	IRIS_313-9839	temp	Spain
LIUSHA 1	B112	ind1A	
PANG::IRGC 91987-1	IRIS_313-12226	subtrop	Lao People's Democratic Republic
ARC 15091::IRGC 43048-1	IRIS_313-8332	indx	India
TODULI::IRGC 48942-2	IRIS_313-11398	ind3	Indonesia
PINUTYUKAN::IRGC 78995-1	IRIS_313-11995	trop	Philippines
BINUHANGIN::IRGC 67429-1	IRIS_313-9503	indx	Philippines
ARC 13888::IRGC 41288-2	IRIS_313-11262	indx	India
PULUT SELEMYAM::IRGC 71820-1	IRIS_313-11849	ind3	Malaysia
LAI YIP ZIM::IRGC 4955-1	IRIS_313-8454	ind1A	Taiwan
GOKAUNG::IRGC 33079-2	IRIS_313-11128	indx	Myanmar
CHING LIU::IRGC 65018-1	IRIS_313-11694	indx	Taiwan
GEANT W 7::IRGC 9620-1	IRIS_313-9817	ind2	Netherlands
KETAN RASO::IRGC 27154-1	IRIS_313-10998	indx	Indonesia
SP 6 (WC 836)::IRGC 57602-1	IRIS_313-11539	trop	
ARC 10939::IRGC 21150-2	IRIS_313-10859	indx	India
TAROM MOLAII	CX66	aro	
IR 57924-24::IRTP 16675-C1	IRIS_313-7699	indx	
MOUSOIR::IRGC 15866-1	IRIS_313-10724	ind3	Senegal
IR8192-200-3-3-1-1	CX276	ind1B	
GOOLARAH::GERVEX 500-C1	IRIS_313-8074	trop	
KALAMON 113::IRGC 6534-1	IRIS_313-10537	admix	Bangladesh
MAMAGU	B260	ind1A	
FUKUSHIMA MOCHI (GLUT)::IRGC 19296-1	IRIS_313-9884	temp	Japan
SET::IRGC 92200-1	IRIS_313-12227	subtrop	Lao People's Democratic Republic
CHENWAN 3	B113	indx	
ARC 18202::IRGC 42328-1	IRIS_313-8414	indx	India
TUI (KIDAYAN)::IRGC 79058-1	IRIS_313-11996	ind3	Philippines
RAYDHAN 1::IRGC 49127-2	IRIS_313-11399	indx	Bangladesh
KORASISI::IRGC 5285-1	IRIS_313-9505	ind1A	Philippines
SESAT JADI::IRGC 71834-1	IRIS_313-11850	ind3	Malaysia
ARC 13919::IRGC 41313-2	IRIS_313-11263	indx	India
ARC 18175::IRGC 42316-1	IRIS_313-8458	indx	India
HSIN-T'AO YUAN CHING YU::IRGC 65074-1	IRIS_313-11695	ind1A	Taiwan
KABIN::IRGC 29752-1	IRIS_313-11084	ind3	Cambodia
SITORU::IRGC 66669-1	IRIS_313-8664	trop	Indonesia
LANDEO::IRGC 27164-1	IRIS_313-10999	trop	Indonesia
PATIE ROUGE::IRGC 57686-1	IRIS_313-11540	trop	Guinea
BINAM	CX67	aro	
RADEN DJAWA (GUNDIL)::IRGC 18558-1	IRIS_313-10806	ind3	Indonesia
DINORADO::IRTP 12568-C1	IRIS_313-7876	trop	
02428-IL	CX277	japx	
ERNEST::IRGC 15884-2	IRIS_313-10725	indx	Senegal
ULLAL::GERVEX 556-C1	IRIS_313-8097	temp	
MEIHUANUO	B261	ind1A	
SANNABATHA::IRGC 5971-1	IRIS_313-10521	aro	India
HUK ZO::IRGC 19760-1	IRIS_313-9886	temp	Korea, Republic of
CHENGDUAI 3	B114	ind1A	
SOM::IRGC 92221-1	IRIS_313-12228	subtrop	Lao People's Democratic Republic
KUNENG::IRGC 71545-1	IRIS_313-8492	ind3	Malaysia
ECHORSAIL::IRGC 49182-1	IRIS_313-11400	indx	Bangladesh
BARUM::IRGC 79108-1	IRIS_313-11997	ind3	Cambodia
TIMA::IRGC 67856-1	IRIS_313-9506	admix	Bhutan
ARC 13934::IRGC 41325-2	IRIS_313-11264	indx	India
E ZI 32::IRGC 70127-1	IRIS_313-11797	ind1A	China
PAH WEAN::IRGC 78276-1	IRIS_313-8474	ind3	Thailand
HAORU::IRGC 33090-2	IRIS_313-11129	indx	Myanmar
TAIPEI 167::IRGC 65371-1	IRIS_313-11698	aro	Taiwan
JC 1	IRIS_313-8326	aro	India
MAIRUL::IRGC 27170-1	IRIS_313-11000	ind3	Indonesia
HOE PHAR THAE::IRGC 57907-1	IRIS_313-11541	indx	Myanmar
ARC 11276::IRGC 21278-1	IRIS_313-10861	aus	India
MR106	CX68	indx	
IRAT 112::C1	IRIS_313-7914	trop	
POTO BALA::IRGC 15986-2	IRIS_313-10726	ind3	Senegal
IR68	CX278	indx	
IBO 400::GERVEX 943-C1	IRIS_313-8118	temp	
BADAL 76::IRGC 6586-1	IRIS_313-10539	ind2	Bangladesh
WEIGUO	B263	temp	
JEUK DO::IRGC 19775-1	IRIS_313-9887	temp	Korea, Republic of
TAM::IRGC 92253-1	IRIS_313-12229	ind3	Lao People's Democratic Republic
AIMAKANG	B115	ind1A	
DHANE BURWA::IRGC 10105-1	IRIS_313-8530	ind2	India
HSINCHU AI CHIO CHIENG::IRGC 78182-1	IRIS_313-11980	ind1A	Taiwan
MOTANGA::IRGC 49242-2	IRIS_313-11401	aro	Bangladesh
RPW 9-4 (SS 1)::IRGC 50690-1	IRIS_313-9522	indx	India
DUNA AL::IRGC 71842-1	IRIS_313-11851	trop	Philippines
ARC 14150::IRGC 41435-2	IRIS_313-11265	aus	India
NAM SA GUI 19	IRIS_313-8485	ind3	Thailand
KHAO YAI GUANG::IRGC 65972-1	IRIS_313-11708	ind3	Thailand
HTAWPATT::IRGC 33125-2	IRIS_313-11130	indx	Myanmar
PANKHARI 203	IRIS_313-9083	aro	India
PAEDAI SOBUDI::IRGC 27222-1	IRIS_313-11001	trop	Indonesia
BKN BR 1031-78-5-4::IRGC 55927-1	IRIS_313-11515	indx	
MR167	CX69	indx	
ARC 11281::IRGC 21283-1	IRIS_313-10862	japx	India
VARY LAVA DE BETAFO::GERVEX 8381-C1	IRIS_313-7993	trop	
GAYABYEO	CX28	ind1B	
B 6311 A 5553-16-2::IRGC 14541-1	IRIS_313-10708	trop	United States of America
SUPER::GERVEX 1304-C1	IRIS_313-8145	temp	
SANBAILI	B264	ind1A	
IACA ESCURO::IRGC 6636-1	IRIS_313-10541	trop	Guinea-Bissau
WA BANG::IRGC 19880-1	IRIS_313-9890	temp	Korea, Republic of
SHUFENG 101	B116	indx	
TOUN::IRGC 92291-2	IRIS_313-12231	ind3	Lao People's Democratic Republic
SINERBESA::IRGC 38711-1	IRIS_313-8567	ind3	Philippines
SUITE JORA::IRGC 49257-2	IRIS_313-11402	indx	Bangladesh
DAMNOEUB KAUN KHMOM::IRGC 79159-1	IRIS_313-11998	ind3	Cambodia
DUD KUNING::IRGC 44-1	IRIS_313-9533	ind3	Indonesia
ARC 14347::IRGC 41517-2	IRIS_313-11266	indx	India
BAI MI ZAI 7::IRGC 71940-1	IRIS_313-11852	ind1A	China
PUILLIPINA KATARI::IRGC 77293-1	IRIS_313-8509	ind2	Bangladesh
KALAI::IRGC 33151-2	IRIS_313-11131	indx	Myanmar
LEUANG KHAJAWN::IRGC 66014-1	IRIS_313-11709	ind3	Thailand
CHAWAL::IRGC 73090-1	IRIS_313-9601	aro	Pakistan
PAE MEETO::IRGC 27254-1	IRIS_313-11003	trop	Indonesia
KHAO KUM PAR::IRGC 57966-1	IRIS_313-11542	admix	Myanmar
ARC 11322::IRGC 21315-2	IRIS_313-10863	ind2	India
MR77(SEBERANG )	CX70	indx	
IRAT 335::C1	IRIS_313-7924	trop	
KOUPENEDOU KOUBOURY::IRGC 16011-1	IRIS_313-10727	ind3	Senegal
MARAVILHA	CX280	admix	
RUBIDIO::GERVEX 146-C1	IRIS_313-8053	japx	
BELLO::IRGC 6658-2	IRIS_313-10542	ind2	India
WUKEZHAN	B265	indx	
YONG AN HUK::IRGC 19891-1	IRIS_313-9891	temp	Korea, Republic of
TE SAN AI 2::IRGC 93355-1	IRIS_313-12232	indx	China
LIXINGENG	B117	temp	
AC 13 (T 141)::IRGC 5456-1	IRIS_313-8606	ind3	
KAUN TREI::IRGC 79194-1	IRIS_313-11999	ind3	Cambodia
AEB 368 RIP P TYPE ADT::IRGC 49359-2	IRIS_313-11403	indx	India
LABRA::IRGC 74757-1	IRIS_313-9547	ind2	India
BU ZHI MING::IRGC 71971-1	IRIS_313-11853	ind1A	China
ARC 14975::IRGC 41848-1	IRIS_313-11275	indx	India
DAA MANSA::IRGC 67559-1	IRIS_313-8514	ind1B	Ghana
LEUANG MAI::IRGC 66019-2	IRIS_313-11710	ind3	Thailand
KALALAN::IRGC 33154-2	IRIS_313-11132	indx	Myanmar
BERENJ 1277 S::IRGC 3461-1	IRIS_313-9783	admix	Afghanistan
PAE SANGGULA::IRGC 27297-1	IRIS_313-11004	trop	Indonesia
KYUN TAW SEIN::IRGC 58072-1	IRIS_313-11543	ind3	Myanmar
INNMAYEBAW	CX71	ind3	
ARC 11338::IRGC 21329-1	IRIS_313-10864	admix	India
CNA 7\BO\1\1>33-13-6-1::C1	IRIS_313-7866	trop	
IR68897B	CX281	ind1B	
OUSSANTHIABA::IRGC 16046-2	IRIS_313-10728	indx	Senegal
SAMBA::GERVEX 186-C1	IRIS_313-8065	trop	
HAOMAKE (K)	B266	subtrop	
DODGUI::IRGC 6666-1	IRIS_313-10543	aus	India
ROCCA::IRGC 50351-1	IRIS_313-9937	temp	Italy
ERGANGAI	B118	indx	
ANLINGWUBAILI::IRGC 93363-1	IRIS_313-12234	ind1B	China
Na souan::IRGC 11889-1	IRIS_313-8638	ind3	Lao People's Democratic Republic
AMON 4::IRGC 49375-2	IRIS_313-11404	ind2	Bangladesh
LAANG::IRGC 79258-1	IRIS_313-12000	ind3	Cambodia
BENGALY MORIMO::IRGC 10976-1	IRIS_313-9551	ind2	Madagascar
ARC 15063::IRGC 41909-2	IRIS_313-11276	indx	India
CHI GU::IRGC 71988-1	IRIS_313-11854	ind1A	China
NG KARAN DE::IRGC 43489-1	IRIS_313-8536	ind3	Indonesia
LWANKHAN::IRGC 33330-1	IRIS_313-11133	ind3	Myanmar
RAI MAHK MEUANG::IRGC 66154-1	IRIS_313-11711	ind3	Thailand
PANNITHI::IRGC 51049-1	IRIS_313-9949	trop	Sri Lanka
PULU LOTONG::IRGC 27380-2	IRIS_313-11005	trop	Indonesia
LINPAN CHAW::IRGC 58087-1	IRIS_313-11544	indx	Myanmar
ARC 11424::IRGC 21380-2	IRIS_313-10865	subtrop	India
BASMATI 385	CX72	aro	
KAKANI 2::IRGC 13373-C1	IRIS_313-7933	admix	Nepal
MALOGBANA::IRGC 16086-1	IRIS_313-10729	admix	Cote d'Ivoire
LIJIANGXINTUANHEIGU	CX282	japx	
OTA::GERVEX 1145-C1	IRIS_313-8124	japx	
DONGREM::IRGC 6688-1	IRIS_313-10544	ind2	India
NON SPECIFIED	B267	indx	
WIR 884::IRGC 51591-1	IRIS_313-9961	temp	Norway
LAOZAOGU::IRGC 93444-1	IRIS_313-12236	ind1A	China
GUANGLUAI 15-1	B119	ind1A	
CO 19::IRGC 5905-1	IRIS_313-8657	indx	India
LARA BORO::IRGC 79342-1	IRIS_313-12002	aus	Bangladesh
APYO DAW GYI::IRGC 49386-2	IRIS_313-11405	ind3	Myanmar
MULLIKURUVA::IRGC 77529-1	IRIS_313-9557	ind2	India
DA GUAN YIN ZHAN::IRGC 72006-1	IRIS_313-11855	ind1A	China
ARC 15129::IRGC 41938-1	IRIS_313-11277	aus	India
KEERIPALA CHILL PADDY::IRGC 49790-1	IRIS_313-8559	ind2	India
GORA DHAN 2::IRGC 66269-1	IRIS_313-11712	aus	India
MANSAT 3::IRGC 33341-1	IRIS_313-11134	indx	Myanmar
KURULU WEE (WHITE)::IRGC 66518-1	IRIS_313-8342	aus	Sri Lanka
CO 36::IRGC 26847-2	IRIS_313-10988	indx	India
MOE GAUNG PYU::IRGC 58120-1	IRIS_313-11545	indx	Myanmar
IR6	CX73	ind1B	
ARC 11478::IRGC 21418-1	IRIS_313-10866	subtrop	India
IRAT 104::C1	IRIS_313-7912	trop	
HAN 502	CX284	japx	
NANIBRE::IRGC 16102-2	IRIS_313-10730	trop	Cote d'Ivoire
PLOVDIV 24::GERVEX 1168-C1	IRIS_313-8126	temp	
NANGAOGU	B268	indx	
KARIA::IRGC 6702-1	IRIS_313-10545	aus	
WIR 1391::IRGC 51605-1	IRIS_313-9963	aus	Sri Lanka
HONGWAN 1	B120	indx	
WUGU::IRGC 93479-1	IRIS_313-12237	ind1A	China
BALASURIYA A::IRGC 66509-1	IRIS_313-8699	indx	Sri Lanka
A 28-6::IRGC 49409-2	IRIS_313-11406	ind3	Myanmar
GYEONGSAN 1::IRGC 79404-1	IRIS_313-12003	temp	Korea, Republic of
ARC 11857::IRGC 40972-1	IRIS_313-9560	indx	India
ARC 15319::IRGC 42007-1	IRIS_313-11278	indx	India
DA HEI GU::IRGC 72009-1	IRIS_313-11856	ind1A	China
ARC 11901::IRGC 21727-1	IRIS_313-8585	indx	India
MAUNG NYO::IRGC 33351-2	IRIS_313-11135	ind3	Myanmar
ITA 245::IRGC 66288-1	IRIS_313-11713	ind3	Nigeria
TAK::IRGC 73124-1	IRIS_313-8655	aus	Pakistan
PULU RENNI::IRGC 27386-1	IRIS_313-11006	ind3	Indonesia
NGA CHAN HMWE::IRGC 58146-1	IRIS_313-11546	indx	Myanmar
ARC 11538::IRGC 21463-1	IRIS_313-10867	subtrop	India
JP-5	CX74	temp	
CHA LOY OE::C1	IRIS_313-7856	subtrop	
BARKHE TAULI::IRGC 16116-1	IRIS_313-10731	ind1A	Nepal
NONGLINNUO	CX285	trop	
SELN 244 A 6-20::GERVEX 1273-C1	IRIS_313-8141	temp	
C 34-13::IRGC 6797-2	IRIS_313-10547	indx	Myanmar
YUEFU	B269	temp	
WIR 1951::IRGC 51643-1	IRIS_313-9964	temp	Georgia
PULUT MINYAK::IRGC 93615-1	IRIS_313-12240	ind3	Indonesia
LUKE 3	B121	ind1A	
KUTAI PAYA::IRGC 19528-1	IRIS_313-8723	ind3	Malaysia
TANALA::IRGC 79467-1	IRIS_313-12004	admix	Madagascar
BATCHA BHOG (SCENTED)::IRGC 49440-2	IRIS_313-11407	ind2	India
RP 9-4::IRGC 39735-1	IRIS_313-9566	ind1B	India
DA LI BAI 63::IRGC 72016-1	IRIS_313-11857	ind1A	China
ARC 15455::IRGC 42040-2	IRIS_313-11279	indx	India
PLI KHAO::IRGC 64596-1	IRIS_313-8586	ind3	Thailand
CHAMPION::IRGC 66327-1	IRIS_313-11714	indx	Guyana
NGAKWE THETYIN::IRGC 33477-2	IRIS_313-11136	admix	Myanmar
SIMUL KHURI::IRGC 35154-1	IRIS_313-8771	aus	India
PULUT BONGO::IRGC 27397-2	IRIS_313-11007	trop	Indonesia
SHWE SABA::IRGC 58206-1	IRIS_313-11547	indx	Myanmar
AT354	CX75	indx	
ARC 11571::IRGC 21487-2	IRIS_313-10868	aro	India
BODA 148-3::GERVEX 8258-C1	IRIS_313-7850	trop	
C349	CX286	admix	
MADHUWA KARIA::IRGC 16138-2	IRIS_313-10732	aro	Nepal
POLIZESTI 28::GERVEX 1170-C1	IRIS_313-8127	temp	
GANG 46B	CX10	ind1A	
SUKAMANDI 1005::IRGC 6065-1	IRIS_313-10522	admix	Indonesia
HEUKSANJO::IRGC 55536-1	IRIS_313-9974	temp	Korea, Republic of
LIAOGENG 287	B122	temp	
SEMENDANG::IRGC 93633-1	IRIS_313-12241	trop	Indonesia
SINNA SITHIRA KALI::IRGC 51064-1	IRIS_313-9091	indx	Sri Lanka
CHITRAKALI::IRGC 49524-2	IRIS_313-11408	ind2	India
CHE MAH::IRGC 79480-1	IRIS_313-12005	ind3	Malaysia
KHAO CHUAN CHOM 452::IRGC 36571-1	IRIS_313-9567	ind3	Thailand
ARC 15486::IRGC 42055-1	IRIS_313-11280	indx	India
DA TIE ZHAN::IRGC 72029-1	IRIS_313-11858	ind1A	China
ARC 12884::IRGC 22417-1	IRIS_313-8603	indx	India
NGALONGYI::IRGC 33479-2	IRIS_313-11137	indx	Myanmar
SOSSOKA::IRGC 66478-1	IRIS_313-11716	ind3	Guinea
LALSAITA::IRGC 43915-1	IRIS_313-8789	aus	Bangladesh
PULUT CENRANA::IRGC 27400-2	IRIS_313-11008	trop	Indonesia
TAUNG LWIN::IRGC 58222-1	IRIS_313-11548	indx	Myanmar
ARC 11751::IRGC 21614-1	IRIS_313-10869	aus	India
BG304	CX76	ind1B	
MITSANGANAHIJERY::GERVEX 8316-C1	IRIS_313-7959	trop	
MOTANGE PAHELLO LAULE::IRGC 16160-1	IRIS_313-10733	indx	Nepal
C52	CX287	temp	
HAREM::GERVEX 929-C1	IRIS_313-8116	japx	
RATUA 81::IRGC 6829-1	IRIS_313-10549	aus	Pakistan
PALUNG 2	CX100	ind1B	
